iter	Logloss
0	0.6769759137
1	0.661588369
2	0.6468431643
3	0.6331585376
4	0.6198718013
5	0.6072022897
6	0.5952910506
7	0.5840356863
8	0.5732945345
9	0.5632094712
10	0.5535868466
11	0.5445604617
12	0.5358595497
13	0.5276602996
14	0.5198245974
15	0.5120946063
16	0.5046472232
17	0.4978501835
18	0.491550669
19	0.4855344998
20	0.4797382406
21	0.473892174
22	0.4686279573
23	0.4631467728
24	0.4583132864
25	0.4535323917
26	0.4490947213
27	0.4448338005
28	0.4403662689
29	0.4363891787
30	0.4324694102
31	0.4288205603
32	0.4249228247
33	0.4214786462
34	0.4180425134
35	0.4147832723
36	0.4115727021
37	0.408252055
38	0.4054007283
39	0.4023896001
40	0.3995842769
41	0.3968331369
42	0.394001927
43	0.3915119247
44	0.3890683945
45	0.3866089554
46	0.384223538
47	0.3819868236
48	0.3798329269
49	0.3774753857
50	0.3752192829
51	0.3732291348
52	0.3710225575
53	0.3689864941
54	0.3671344662
55	0.3652802962
56	0.363497815
57	0.3617858379
58	0.3599215194
59	0.358320174
60	0.3567112582
61	0.3550301871
62	0.3533981328
63	0.3516419193
64	0.350209439
65	0.348854163
66	0.3474559669
67	0.3458460306
68	0.3445940227
69	0.3433974737
70	0.3419386226
71	0.3405127814
72	0.3392330438
73	0.3381190872
74	0.3370261756
75	0.3359525817
76	0.3348107306
77	0.3336460114
78	0.3325719356
79	0.3314565507
80	0.3304949766
81	0.329563372
82	0.3286275459
83	0.3277341978
84	0.3267302566
85	0.3257422955
86	0.3248661862
87	0.3240197421
88	0.323091804
89	0.3223188693
90	0.321442304
91	0.3205481421
92	0.3198079368
93	0.3191041454
94	0.3183126109
95	0.3176005068
96	0.3168820174
97	0.3162288879
98	0.3156172909
99	0.3149799046
100	0.3143583356
101	0.3137081594
102	0.3130404199
103	0.3124495909
104	0.3118197289
105	0.3112511698
106	0.3106604446
107	0.3100470486
108	0.3093669041
109	0.3088295806
110	0.3082930871
111	0.3078102301
112	0.307343241
113	0.3068675003
114	0.3063505664
115	0.3059159174
116	0.3054499792
117	0.3048571283
118	0.3043596725
